ID,AccountName,CharacterName,Class,Rank,Level,Experience,Dead,1644382123,1644382423,1644382724,1644383025,1644383325,1644383626,1644383926,1644384227,1644384527
bdaccac70531b81a9de48a63da0dc52cb8285fa5e353a9bf09e55e86b0872b20,Darkee,sadgeben,Necromancer,1,94,2777958273,False,2777958273,2777958273,2777958273,2777958273,2777958273,2777958273,2777958273,2777958273,2777958273
b9e09e01f689eb9737124dfee9f55fc599ea919b0881cc005804d095190bfa74,Steelmage,SteelHairyInfant,Hierophant,2,95,3102038592,False,3102038592,3102038592,3102038592,3102038592,3102038592,3102038592,3102038592,3102038592,3102038592
56473d52339a6ad3352196193746599d17e9c5b930aeb0d9ae85bf7b078d1218,Dsfarblarwaggle,waggleNOLAPTOP,Saboteur,3,96,3172976047,False,3172976047,3172976047,3172976047,3172976047,3172976047,3172976047,3172976047,3172976047,3172976047
fccb19bfb79e437ab9a9bcb230d73dca885ae87b1c0cdae4d0e26ad4c63c2331,Karvarousku,Kaaaarvf,Saboteur,4,94,2826784127,False,2826784127,2826784127,2826784127,2826784127,2826784127,2826784127,2826784127,2826784127,2826784127
f197ac59db26b7935ffe4bdec71c801dfc8d534b83d7fa34ac0b66a48b6f0213,fiskrens,renshehe,Necromancer,5,94,2874807488,False,2874807488,2874807488,2874807488,2874807488,2874807488,2874807488,2874807488,2874807488,2874807488
e9e08c9bd421a9b93898ad97c19a33148251edd861efebcfcdf86d5f01f5b259,dslily,lily_logoutmacro,Necromancer,6,93,2541766003,True,2541766003,DEAD 2541766003,DEAD 2541766003,DEAD 2541766003,DEAD 2541766003,DEAD 2541766003,DEAD 2541766003,DEAD 2541766003,DEAD 2541766003
9eed136c5be45d37250eb2ed85d2a1959a6092f0e2dd94572b8577d3fd31ada5,xtrmspd,VyyZLastMinuteBuild,Champion,7,94,2685213170,False,2685213170,2685213170,2685213170,2685213170,2685213170,2685213170,2685213170,2685213170,2685213170
e9109bef959d887a2ecbccc9b7befbd696bde626534bfcabb6c1db930e545339,z4kur,Rnx_Seismic,Saboteur,8,96,3154419105,False,3154419105,3154419105,3154419105,3154419105,3154419105,3154419105,3154419105,3154419105,3154419105
f3ba32b4001e31c65d47b5ea55e8ecd7e6bf15bf93840ca8b5c8d385fadae921,woormyman1,ZakarionDD,Necromancer,9,94,2830339512,False,2830339512,2830339512,2830339512,2830339512,2830339512,2830339512,2830339512,2830339512,2830339512
280e5080b2f88f82689ceb9ff0916faa2ddf630f2ee7092eb0fecef8c7544cbf,Kunagi_JP,Kunagi_Re,Hierophant,10,97,3453813498,False,3442495914,3443889105,3445415534,3448123151,3448123151,3448123151,3448123151,3449968348,3453813498
bd11be9d439333ef7df52475ac09d880cbcb157b6d6094797bea486fed698642,Pafi,Pafi_Arch_Crem,Inquisitor,11,93,2476263179,False,2476263179,2476263179,2476263179,2476263179,2476263179,2476263179,2476263179,2476263179,2476263179
b176db98d04ee568702f3c37637ce18623f67766826c5e38793e516f3e2e5ffd,DrDexxer,DrDexxer_Second_Round,Necromancer,12,94,2658074992,True,2658074992,DEAD 2658074992,DEAD 2658074992,DEAD 2658074992,DEAD 2658074992,DEAD 2658074992,DEAD 2658074992,DEAD 2658074992,DEAD 2658074992
7c0ad99ddd1249e37a69e6e3b7dd19d24ae9f093d1374a8941b3986185812f6a,xaitv,XaiNotRacing,Champion,13,95,3028950058,False,3028950058,3028950058,3028950058,3028950058,3028950058,3028950058,3028950058,3028950058,3028950058
5b76210aaf3de073d46b3d445af86f86426c5394793dd7dadc2b6fcaba81a447,sss111,bxvvcbdfgdfdfsxvxcasdas,Pathfinder,14,96,3112956701,False,3112956701,3112956701,3112956701,3112956701,3112956701,3112956701,3112956701,3112956701,3112956701
6b74153b89e463dc9a6a38e7b48bda6ec74747202925e41ba7b197579239219a,Moyomoto,goku_______,Hierophant,15,94,2770296110,False,2770296110,2770296110,2770296110,2770296110,2770296110,2770296110,2770296110,2770296110,2770296110
51b9fb8434e293bfeeb8f0d885f5e8299c8689324afd2c3006b6df9789128954,phazeplays,PhazeArchnem,Champion,16,96,3135527024,False,3135527024,3135527024,3135527024,3135527024,3135527024,3135527024,3135527024,3135527024,3135527024
6ae6d587c47100371255032de41675507ec2a491cb70f078013d9783f715ccce,weilingz,MichiruShinopira,Saboteur,17,96,3140367923,False,3128356219,3129845341,3129845341,3133224115,3135151969,3137165375,3138885720,3138904229,3140367923
73cec7e2c14b0462ce90b72ff7b1217fab0cc88ad47b68d5a822c39ddc620872,Rihzel,ertwyerthhsegrawetrtwer,Saboteur,18,95,3106881314,False,3106881314,3106881314,3106881314,3106881314,3106881314,3106881314,3106881314,3106881314,3106881314
80ea5885d4237e788c7754ef4f46888d18336bb71e249f6281d8e68da6bd1365,Nerazon,AndThisOneIsForTheHiero,Hierophant,19,95,3098217170,False,3098217170,3098217170,3098217170,3098217170,3098217170,3098217170,3098217170,3098217170,3098217170
efc8d15a655b768efea0d5bd8493765dd4ddd1a6f891da653017812f08284ebb,beardedmagician,Bearded_IronWill,Necromancer,20,95,2982418463,False,2972006912,2974072550,2974689319,2975631575,2977128648,2978222717,2979135737,2980073049,2982418463
d0069f75839fc408e0f55e9eef483fc6b254b63dac0c1d576a550597dada0531,CARNDARAK,cArnBONESLAYER,Slayer,21,100,4250334444,False,4250334444,4250334444,4250334444,4250334444,4250334444,4250334444,4250334444,4250334444,4250334444
6f74ec6436e4728b26a5a2e3b5620eb5b838df8527a5011aa1404d165038026f,nickexile11,ㆍㆍㆍㆍcarndarakㆍㆍㆍㆍ,Occultist,22,100,4250334444,False,4250334444,4250334444,4250334444,4250334444,4250334444,4250334444,4250334444,4250334444,4250334444
de4fbf81bf07ecfe9589b73af5611871a8748289fde278319ca77ed751f0a355,Zuki_CZ,Zuki_snadToBrzoRipnu,Occultist,23,98,3783325922,False,3783325922,3783325922,3783325922,3783325922,3783325922,3783325922,3783325922,3783325922,3783325922
26a6dc087b17959163d15cbce1a7b6374dc1166f18eb6adb01b212c65ea5ad81,Elementling,Elementling,Juggernaut,24,97,3501545139,False,3501545139,3501545139,3501545139,3501545139,3501545139,3501545139,3501545139,3501545139,3501545139
